Unnamed: 0,Title,Video ID,Published At,Keyword,Likes,Comments,Views,pop_score
146,Craziest &quot;1 in a Trillion&quot; Moments in Sports History,RxhDx1gpoeo,2021/8/9,sports,127971,3938,20647398,0.006001136745706618
147,Newcastle United v. Manchester City | PREMIER LEAGUE HIGHLIGHTS | 8/21/2022 | NBC Sports,B6HQSEz2ZDg,2022/8/21,sports,11805,1116,961317,0.0008672298150017637
148,All Sports Trick Shots | Dude Perfect,bIDKhZ_4jLQ,2019/10/7,sports,601464,23466,27922929,0.025173293552571994
149,Greatest World Records in Sport History,v3m_DlYSJOA,2020/10/3,sports,241605,6650,31518906,0.010371188664553329
150,Kentucky Derby 2022 (FULL RACE) | NBC Sports,wIYD42DV3Ro,2022/5/7,sports,39999,6387,5683239,0.004662072202550553
151,20 TIMES SPORTS FANS TOOK IT WAY TOO FAR,_6akkGVr2zs,2021/1/8,sports,33316,1335,7795119,0.001930568788820236
152,Craziest &quot;Deadly Fall&quot; Moments in Sports History,U7bNzl0HepU,2021/10/24,sports,14899,637,1836457,0.0007138166083692993
153,Top 100 Best Sports Bloopers 2020,yaGkToO1eHo,2020/12/28,sports,25347,385,9444655,0.0018258802389890202
154,Leeds United v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 8/21/2022 | NBC Sports,dCMJqrAHgkc,2022/8/21,sports,11898,1330,901368,0.0009989177272850167
155,Reactions after Manchester United take down Liverpool | Premier League | NBC Sports,cjTV-uyMKbc,2022/8/23,sports,1096,178,106597,0.00012834548141144422
156,Tottenham Hotspur v. Wolves | PREMIER LEAGUE HIGHLIGHTS | 8/20/2022 | NBC Sports,Q99TxKPzLkc,2022/8/20,sports,6325,391,573655,0.00034820292717835773
157,All Sports Golf Battle 2 | Dude Perfect,#NAME?,2017/12/4,sports,867074,43024,106014469,0.043989809369140535
158,Manchester City v. Bournemouth | PREMIER LEAGUE HIGHLIGHTS | 8/13/2022 | NBC Sports,WZKPK1a8w90,2022/8/13,sports,6946,481,647117,0.00041114635290428184
159,The Most Controversial Player in Sports,Kcne0vP4NNE,2021/9/21,sports,51562,8289,4282206,0.005955318870065553
160,1 IN A TRILLION MOMENTS IN SPORTS,3fT5K2SIXDQ,2022/6/12,sports,31796,555,6134948,0.0015003360950570982
161,BIGGEST Winners &amp; Losers From Friday&#39;s NFL Preseason Slate I CBS Sports HQ,VAe6ZDhwZ0c,2022/8/20,sports,46,6,2219,4.383874216098773e-06
162,Viagra Boys - Sports (Official Video),QjL7D33xpS4,2018/8/13,sports,149084,3901,4820297,0.005447924894306524
163,Manchester United v. Liverpool LIVE postgame Q&amp;A | Premier League | NBC Sports,BZIfU09QOJY,2022/8/22,sports,191,35,27378,2.5223660771156086e-05
164,Canadian Ultimate Championships Juniors: Open Final | Ultimate Frisbee | CBC Sports,ETsM6CGZ0_Y,2022/8/24,sports,38,1,4114,1.5449389932178093e-06
165,Nintendo Switch Sports - Overview Trailer - Nintendo Switch,tiwjvBSS_Wk,2022/3/31,sports,32772,4597,1194578,0.0033243120917353947
166,"Funniest Sports Moments of the Year 2021 | Crazy Fan Moments, Epic Fails &amp; Blunders",JsOL9GBAugY,2021/12/26,sports,2584,57,1051751,0.0002018643294992299
167,The NFL Experience with Kai Nacua and Tyler Allgeier | BYU Sports Nation Full Episode 8.23.22,ARnERQncs0I,2022/8/23,sports,15,1,867,8.452433181336282e-07
168,Craziest &quot;Thinking outside the Box&quot; Moments in Sports History,szlhtejAMyM,2021/10/5,sports,132236,3715,15110047,0.0055178651170071195
169,Caicedo? Pulisic? Casemiro? | Who are Manchester United interested in signing? âï¸ð´,x64iroHxmsc,2022/8/18,sports,3991,820,269716,0.0005788721798540515
170,West Ham United v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 8/21/2022 | NBC Sports,rVcwYxqupxw,2022/8/21,sports,2192,144,230945,0.000126850453108413
171,&quot;They can ******* play footballâ¦sorry&quot;ð | Erik ten Hag reacts to his first Manchester United win,G8cramghuZ8,2022/8/22,sports,54006,3508,2699810,0.0029807343910081972
